Country,Edition,Fixed-line broadband subscribers,Mobile subscribers,Gender gap in internet access,Gender gap in mobile phone access,Average mobile latency,Bandwidth capacity,Internet exchange points,Urban electricity access,Rural electricity access,Smartphone cost (handset),"Average revenue per user (ARPU, annualized)",e-Entertainment usage,Nominal GDP,Population,Urban population,GNI per capita,GINI coefficient,Population under the poverty line,Total electricity access,Percentage of schools with Internet access,Global Peace Index,Democracy Index,Internet users (population),Offline population,Internet access gender gap,Mobile phone access gender gap,Internet users (percent of population),Male internet users,Female internet users,Male mobile phone subscribers,Female mobile phone subscribers,Total fixed line broadband subscribers,Year,Income Class,Mobile subscribers (Percentage),Offline population (Percentage)
Cameroon,E4,1.57,73.2,8.3,-2.6,69.46,2681.0,0.4,99.0,33.3,45.6,46.9,86.0,38.8,25.9,56.4,1440,46.6,7.6,62.66,23.1,2.6,3.3,5.7,18.87,3.0,-2.0,23.2,36.0,33.0,76.0,78.0,16765,2020,Lower-Middle Income,2.8262548262548264,72.85714285714286
Cameroon,E5,1.55,82.7,11.4,7.4,51.6,2681.0,0.39,98.3,32.2,38.0,43.4,68.6,37.9,26.6,57.0,1500,46.6,7.6,62.66,23.1,2.6,2.8,5.7,18.87,5.0,6.0,23.2,44.0,39.0,81.0,75.0,199912,2021,Lower-Middle Income,3.1090225563909772,70.93984962406014
Canada,E1,36.4,82.6,,,89.0,61683.0,3.06,100.0,100.0,70.8,551.6,,1528.0,36.4,81.3,47570,33.8,0.1,100.0,97.0,1.4,9.1,32.42,3.6,,,90.0,,,84.0,67.0,13115376,2017,High Income,2.269230769230769,9.89010989010989
Canada,E2,36.79,84.5,0.0,8.9,47.28,66332.0,3.58,100.0,100.0,71.5,565.9,83.4,1649.7,36.7,81.3,43870,33.8,0.1,100.0,97.0,1.4,9.2,33.17,3.22,0.0,7.0,91.2,90.0,90.0,79.0,72.0,13386496,2018,High Income,2.302452316076294,8.773841961852861
Canada,E3,37.91,86.3,1.1,0.0,41.83,73419.0,3.28,100.0,100.0,74.4,584.3,92.2,1715.9,37.1,81.4,42990,33.8,0.1,100.0,97.0,1.4,9.2,34.05,2.68,1.0,0.0,92.7,92.0,91.0,82.0,82.0,13923805,2019,High Income,2.326145552560647,7.223719676549865
Canada,E4,38.96,89.6,4.2,7.7,38.53,73419.0,4.59,100.0,100.0,75.7,497.4,94.0,1736.4,37.4,81.4,45000,33.8,0.1,100.0,97.0,1.3,9.2,34.05,2.68,4.0,7.0,92.7,95.0,91.0,91.0,84.0,14445606,2020,High Income,2.3957219251336896,7.16577540106952
Canada,E5,40.83,91.9,2.1,6.6,36.78,73419.0,4.54,100.0,100.0,84.3,488.7,91.2,1638.0,37.7,81.5,46370,33.8,0.1,100.0,97.0,1.3,9.2,34.05,2.68,2.0,6.0,92.7,95.0,93.0,91.0,85.0,14881958,2021,High Income,2.4376657824933687,7.108753315649867
Chile,E1,15.13,129.1,,,69.0,108643.0,0.56,99.81,97.8,75.6,143.1,,250.4,18.2,87.4,14130,44.4,0.2,100.0,78.0,1.6,7.8,13.77,4.2,,,76.6,,,89.0,93.0,2719439,2017,High Income,7.093406593406593,23.076923076923077
Chile,E2,15.95,128.0,-2.9,2.1,48.08,110218.0,1.68,100.0,100.0,74.6,145.8,86.0,277.0,18.5,87.4,13370,44.4,0.1,100.0,78.0,1.6,7.8,15.22,2.99,-2.0,2.0,83.6,69.0,71.0,94.0,92.0,2904580,2018,High Income,6.918918918918919,16.162162162162165
Chile,E3,16.58,124.6,-2.9,-1.1,42.38,127751.0,1.66,100.0,100.0,65.6,146.9,88.5,298.2,18.7,87.5,13270,44.4,0.1,100.0,78.0,1.6,7.8,15.21,3.26,-2.0,-1.0,82.3,70.0,72.0,90.0,91.0,3062392,2019,High Income,6.663101604278075,17.4331550802139
Chile,E4,17.36,134.4,1.4,-1.1,40.35,127751.0,1.6,100.0,100.0,71.1,136.0,98.0,282.2,19.0,87.6,14620,44.4,0.2,100.0,78.0,1.6,8.0,15.21,3.26,1.0,-1.0,82.3,74.0,73.0,91.0,92.0,3250678,2020,High Income,7.0736842105263165,17.157894736842106
Chile,E5,18.09,132.2,3.7,0.0,39.96,127751.0,0.53,100.0,100.0,66.0,123.6,90.2,243.2,19.1,87.6,15010,44.4,0.2,100.0,78.0,1.8,8.1,15.21,3.26,3.0,0.0,82.3,81.0,78.0,92.0,92.0,3429305,2021,High Income,6.921465968586387,17.068062827225127
China,E1,19.69,91.8,,,80.0,6506.0,0.04,100.0,99.8,59.6,93.6,,11226.9,1371.0,55.5,7940,38.5,0.3,100.0,72.3,2.3,3.1,686.09,677.91,,,50.3,,,95.0,91.0,277046000,2017,Upper-Middle Income,0.06695842450765864,49.44638949671772
China,E2,22.81,96.5,4.5,3.2,55.91,14645.0,0.05,100.0,100.0,58.4,98.3,90.2,12265.3,1379.0,56.7,8270,38.5,0.2,100.0,72.3,2.2,3.1,729.37,641.63,3.0,3.0,53.2,66.0,63.0,93.0,90.0,322597000,2018,Upper-Middle Income,0.06997824510514866,46.5286439448876
China,E3,27.74,103.4,3.0,3.2,46.38,27722.0,0.07,100.0,100.0,59.2,101.3,84.0,13841.8,1385.0,58.0,8740,38.5,0.1,100.0,98.0,2.2,3.1,748.8,630.2,2.0,3.0,54.3,66.0,64.0,95.0,92.0,394190000,2019,Upper-Middle Income,0.07465703971119134,45.50180505415163
China,E4,28.54,115.5,-7.9,-1.1,42.94,27722.0,0.05,100.0,100.0,50.9,95.6,96.0,14401.7,1390.0,59.2,9620,38.5,0.1,100.0,98.0,2.1,3.3,748.8,630.2,-5.0,-1.0,54.3,63.0,68.0,94.0,95.0,407382000,2020,Upper-Middle Income,0.08309352517985612,45.33812949640288
China,E5,31.34,121.8,-7.5,0.0,32.66,27722.0,0.05,100.0,100.0,63.7,89.8,84.9,14919.0,1395.0,60.3,10410,38.5,0.1,100.0,98.4,2.2,2.3,748.8,630.2,-5.0,0.0,54.3,67.0,72.0,94.0,94.0,449279000,2021,Upper-Middle Income,0.08731182795698925,45.17562724014337
Colombia,E1,11.63,120.6,,,137.0,109493.0,0.41,99.8,90.3,56.9,67.5,,282.7,48.2,79.8,7330,50.8,2.0,98.4,70.7,2.8,6.6,26.57,20.95,,,55.9,,,90.0,88.0,5525763,2017,Upper-Middle Income,2.50207468879668,43.46473029045643
Colombia,E2,12.27,121.8,11.1,2.3,82.19,156960.0,0.41,100.0,86.95,53.8,62.6,96.0,311.9,48.9,80.1,6460,49.7,1.8,98.5,70.7,2.8,6.7,28.01,20.17,7.0,2.0,58.1,63.0,56.0,87.0,85.0,5912968,2018,Upper-Middle Income,2.4907975460122698,41.24744376278119
Colombia,E3,12.94,127.2,0.0,1.2,56.49,157599.0,0.2,100.0,84.66,69.5,60.9,90.0,333.5,49.7,80.4,5930,50.4,1.8,99.94,69.9,2.7,6.7,30.45,18.46,0.0,1.0,62.3,60.0,60.0,84.0,83.0,6331032,2019,Upper-Middle Income,2.5593561368209254,37.142857142857146
Colombia,E4,13.45,129.9,18.3,2.4,53.35,157987.0,0.4,99.2,85.5,53.9,58.9,88.0,323.6,50.3,80.8,6260,50.4,1.6,99.94,69.9,2.7,7.0,31.85,17.82,11.0,2.0,64.1,60.0,49.0,83.0,81.0,6678543,2020,Upper-Middle Income,2.5825049701789267,35.42743538767396
Colombia,E5,13.81,131.7,4.5,2.4,47.53,181588.0,0.4,99.5,85.6,54.8,58.9,92.3,255.5,50.9,81.1,6510,50.4,1.7,99.94,69.9,2.6,7.1,32.72,17.62,3.0,2.0,65.0,67.0,64.0,82.0,80.0,6949852,2021,Upper-Middle Income,2.5874263261296657,34.616895874263264
Congo (DRC),E1,0.0,49.5,,,259.0,345.0,0.13,45.92,2.0,5.9,39.5,,37.1,78.8,42.7,460,42.1,38.6,17.4,29.0,3.1,2.1,2.9,73.34,,,3.8,,,45.0,36.0,1000,2017,Low Income,0.6281725888324873,93.07106598984772
Congo (DRC),E2,0.0,36.7,56.0,33.9,188.37,715.0,0.13,47.52,0.36,8.6,39.6,90.0,38.0,81.4,43.3,470,42.1,38.6,18.23,29.0,3.1,1.9,4.89,73.9,14.0,21.0,6.2,25.0,11.0,62.0,41.0,1000,2018,Low Income,0.45085995085995084,90.7862407862408
Congo (DRC),E3,0.0,43.5,42.3,33.9,127.26,499.0,0.12,49.11,0.36,14.4,40.4,74.0,46.8,84.1,43.9,460,42.1,38.6,18.98,9.2,3.3,1.6,7.02,74.38,11.0,19.0,8.6,26.0,15.0,56.0,37.0,1000,2019,Low Income,0.5172413793103449,88.4423305588585
Congo (DRC),E4,0.01,43.4,42.3,33.9,92.57,499.0,0.12,50.7,0.5,9.9,39.7,96.0,47.3,86.8,44.5,500,42.1,38.6,18.98,9.2,3.3,1.5,7.02,74.38,11.0,19.0,8.6,26.0,15.0,56.0,37.0,4620,2020,Low Income,0.5,85.69124423963133
Congo (DRC),E5,0.01,42.8,42.3,33.9,62.27,499.0,0.23,50.7,0.5,11.3,39.2,80.8,44.8,89.6,45.0,520,42.1,38.6,18.98,9.2,3.2,1.1,7.02,74.38,11.0,19.0,8.6,26.0,15.0,56.0,37.0,4620,2021,Low Income,0.47767857142857145,83.01339285714285
Costa Rica,E1,11.52,155.4,,,106.0,63705.0,2.08,99.9,98.3,74.6,100.6,,57.2,4.9,76.9,10400,48.7,0.6,99.5,42.4,2.3,8.0,2.9,1.95,,,59.8,,,91.0,90.0,558656,2017,Upper-Middle Income,31.71428571428571,39.795918367346935
Costa Rica,E2,13.04,170.0,-3.8,-1.1,76.87,58707.0,2.06,100.0,96.88,72.0,96.6,,58.5,5.0,77.7,10770,48.3,0.6,99.6,50.8,2.2,7.9,3.23,1.67,-3.0,-1.0,65.9,79.0,82.0,91.0,92.0,639087,2018,Upper-Middle Income,34.0,33.4
Costa Rica,E3,15.03,178.6,5.0,2.2,71.16,54385.0,2.04,100.0,96.88,61.5,98.0,76.0,60.6,5.0,78.6,11150,48.0,0.5,100.0,50.8,1.8,7.9,3.54,1.41,4.0,2.0,71.6,80.0,76.0,93.0,91.0,744041,2019,Upper-Middle Income,35.72,28.199999999999996
Costa Rica,E4,16.7,169.9,3.8,1.1,56.61,113450.0,2.0,100.0,97.2,57.0,93.4,76.0,61.8,5.0,79.3,11590,48.0,0.4,100.0,70.0,1.7,8.1,3.67,1.33,3.0,1.0,73.5,78.0,75.0,92.0,91.0,834784,2020,Upper-Middle Income,33.980000000000004,26.6
Costa Rica,E5,17.92,169.4,-3.7,0.0,41.61,211858.0,1.98,100.0,97.0,58.8,91.5,96.0,60.2,5.1,80.1,11700,48.0,0.5,100.0,70.0,1.7,8.1,4.1,0.95,-3.0,0.0,81.2,80.0,83.0,91.0,91.0,903735,2021,Upper-Middle Income,33.21568627450981,18.627450980392158
Cote d'Ivoire,E1,0.47,109.4,,,96.0,3130.0,0.47,42.4,7.9,33.4,61.0,,47.9,23.8,49.4,1660,41.5,10.4,64.3,21.6,2.3,3.3,8.93,14.3,,,38.4,,,86.0,74.0,109707,2017,Lower-Middle Income,4.596638655462185,60.08403361344538
Cote d'Ivoire,E2,0.57,115.2,45.8,19.8,92.0,4018.0,0.43,88.0,31.5,38.0,55.7,94.0,51.5,24.4,49.9,1840,41.5,9.1,65.6,21.6,2.3,3.8,9.82,14.0,11.0,18.0,41.2,24.0,13.0,91.0,73.0,136380,2018,Lower-Middle Income,4.721311475409837,57.37704918032788
Cote d'Ivoire,E3,0.58,129.9,37.5,15.7,58.67,5872.0,0.41,88.0,31.5,57.0,52.8,76.0,57.7,25.1,50.3,2030,41.5,9.1,66.99,13.5,2.2,3.9,10.71,13.72,12.0,13.0,43.8,32.0,20.0,83.0,70.0,142825,2019,Lower-Middle Income,5.175298804780876,54.66135458167331
Cote d'Ivoire,E4,0.7,134.9,34.1,6.9,44.1,8832.0,0.4,99.5,31.7,35.4,49.3,94.0,58.8,25.7,50.8,2180,41.5,9.1,66.99,13.5,2.2,4.2,9.41,15.66,15.0,6.0,37.5,44.0,29.0,87.0,81.0,175918,2020,Lower-Middle Income,5.249027237354086,60.933852140077825
Cote d'Ivoire,E5,0.84,145.3,24.1,6.6,48.69,9418.0,0.39,100.0,50.8,33.9,46.1,90.0,55.2,26.4,51.2,2290,41.5,9.1,66.99,13.5,2.2,4.1,9.37,16.34,13.0,6.0,36.5,54.0,41.0,91.0,85.0,216723,2021,Lower-Middle Income,5.50378787878788,61.8939393939394
Croatia,E1,23.3,104.3,,,56.0,57307.0,2.36,100.0,100.0,51.7,154.0,,51.6,4.2,56.2,12970,30.9,0.6,100.0,89.1,2.0,6.9,2.96,1.28,,,69.8,,,87.0,79.0,986215,2017,High Income,24.833333333333332,30.476190476190474
Croatia,E2,24.8,104.9,9.3,9.8,42.84,73392.0,2.37,100.0,100.0,53.0,159.0,,55.3,4.2,56.4,12380,30.4,0.4,100.0,93.9,1.8,6.7,3.06,1.15,7.0,9.0,72.7,75.0,68.0,92.0,83.0,1043795,2018,Upper-Middle Income,24.976190476190478,27.38095238095238
Croatia,E3,26.2,103.2,13.8,7.8,38.49,125879.0,2.39,100.0,100.0,57.2,163.7,,61.0,4.2,56.7,12640,30.4,0.3,100.0,94.7,1.8,6.6,2.81,1.38,11.0,7.0,67.1,80.0,69.0,90.0,83.0,1095881,2019,High Income,24.57142857142857,32.857142857142854
Croatia,E4,27.15,105.6,9.0,10.8,35.44,137694.0,2.41,100.0,100.0,51.1,150.4,100.0,60.4,4.1,56.9,14010,30.4,0.3,100.0,86.5,1.6,6.6,3.13,1.03,7.0,10.0,75.3,78.0,71.0,93.0,83.0,1128273,2020,High Income,25.75609756097561,25.121951219512194
Croatia,E5,27.96,106.6,10.7,3.2,32.01,171346.0,2.42,100.0,100.0,51.5,153.7,86.0,54.9,4.1,57.2,14910,30.4,0.3,100.0,86.5,1.6,6.6,3.27,0.86,9.0,3.0,79.1,84.0,75.0,93.0,90.0,1154773,2021,High Income,26.0,20.975609756097562
Cuba,E1,0.07,29.5,,,101.0,521.0,0.0,99.5,93.3,54.9,100.6,,91.4,11.3,76.9,7230,46.3,1.2,99.85,42.4,2.3,3.5,4.22,7.1,,,37.3,,,82.8,81.1,8157,2017,Upper-Middle Income,2.6106194690265485,62.83185840707964
Cuba,E2,0.13,35.2,-13.8,3.7,68.25,657.0,0.0,100.0,97.81,52.9,96.6,,96.9,11.3,76.9,7480,46.3,1.1,99.93,51.2,2.2,3.5,4.87,6.46,-4.8,2.9,43.0,34.9,39.7,82.2,79.4,14428,2018,Upper-Middle Income,3.1150442477876106,57.16814159292035
Cuba,E3,0.3,40.7,-13.8,4.5,197.02,540.0,0.0,100.0,98.26,49.8,98.0,,100.0,11.3,77.0,7480,46.3,1.2,100.0,53.1,2.1,3.3,6.48,4.86,-4.8,3.6,57.1,34.9,39.7,83.4,79.8,33536,2019,Upper-Middle Income,3.601769911504425,43.00884955752212
Cuba,E4,0.87,47.4,-13.8,2.7,135.75,1104.0,0.88,100.0,100.0,49.8,93.4,94.0,106.3,11.3,77.0,7480,46.3,1.1,100.0,29.2,2.1,3.0,7.11,4.23,-4.8,2.2,62.7,34.9,39.7,80.2,78.1,98838,2020,Upper-Middle Income,4.1946902654867255,37.43362831858407
Cuba,E5,1.61,53.3,-13.8,3.4,102.22,2126.0,0.0,100.0,100.0,53.2,91.5,92.3,103.6,11.3,77.1,7480,46.3,1.1,100.0,56.6,2.1,2.8,7.01,4.32,-4.8,2.8,61.8,34.9,39.7,81.7,78.9,182732,2021,Upper-Middle Income,4.716814159292035,38.230088495575224
Czech Republic,E1,27.79,117.5,,,57.0,56096.0,3.77,99.97,100.0,58.2,157.7,,196.2,10.6,73.5,18260,25.4,0.0,100.0,89.1,2.0,7.9,8.02,2.58,,,75.7,,,90.0,93.0,2946626,2017,High Income,11.084905660377359,24.339622641509433
Czech Republic,E2,28.91,117.6,3.6,0.0,38.47,61073.0,3.77,99.87,100.0,59.8,159.2,,218.9,10.6,73.6,17590,24.9,0.0,100.0,93.9,1.8,7.8,8.12,2.5,3.0,0.0,76.5,83.0,80.0,93.0,93.0,3069970,2018,High Income,11.09433962264151,23.58490566037736
Czech Republic,E3,29.57,118.8,3.7,-2.2,32.34,59213.0,3.77,100.0,100.0,61.9,158.8,92.0,249.2,10.7,73.7,17970,24.9,0.0,100.0,83.6,1.4,7.6,8.38,2.26,3.0,-2.0,78.7,82.0,79.0,93.0,95.0,3146091,2019,High Income,11.102803738317757,21.121495327102803
Czech Republic,E4,30.22,119.1,5.1,2.1,29.46,59213.0,4.69,99.97,100.0,70.3,158.2,92.0,250.8,10.7,73.8,20230,24.9,0.0,100.0,83.6,1.3,7.7,8.61,2.06,4.0,2.0,80.7,79.0,75.0,94.0,92.0,3222835,2020,High Income,11.130841121495328,19.252336448598133
Czech Republic,E5,34.98,122.6,6.3,2.1,28.7,59213.0,2.81,99.95,100.0,74.7,158.0,94.0,236.1,10.7,73.9,22000,24.9,0.0,100.0,83.6,1.3,7.7,8.64,2.05,5.3,2.0,80.9,79.0,75.0,94.0,92.0,3584800,2021,High Income,11.457943925233645,19.158878504672895
Denmark,E1,42.28,124.4,,,37.0,72081.0,3.52,99.99,100.0,77.5,235.6,,313.2,5.7,87.5,60510,28.2,0.1,100.0,89.1,2.0,9.1,5.48,0.21,,,96.3,,,98.0,97.0,2404962,2017,High Income,21.82456140350877,3.684210526315789
Denmark,E2,43.1,122.3,2.1,1.0,31.29,81254.0,5.25,100.0,100.0,77.2,235.8,88.0,329.7,5.7,87.6,58040,28.7,0.1,100.0,100.0,1.3,9.2,5.54,0.17,2.0,1.0,97.0,95.0,93.0,98.0,97.0,2461403,2018,High Income,21.45614035087719,2.9824561403508776
Denmark,E3,43.82,124.6,3.1,0.0,29.53,87136.0,5.23,100.0,100.0,77.3,242.0,84.0,355.7,5.8,87.8,56210,28.7,0.2,100.0,100.0,1.4,9.2,5.57,0.17,3.0,0.0,97.1,96.0,93.0,98.0,98.0,2511871,2019,High Income,21.482758620689655,2.931034482758621
Denmark,E4,44.09,125.5,4.1,1.0,29.65,87136.0,3.48,100.0,100.0,73.5,238.3,86.0,347.0,5.8,87.9,60920,28.7,0.1,100.0,100.0,1.3,9.2,5.6,0.15,4.0,1.0,97.3,97.0,93.0,99.0,98.0,2535904,2020,High Income,21.637931034482758,2.586206896551724
Denmark,E5,43.95,125.5,2.0,0.0,28.22,87136.0,5.2,100.0,100.0,66.0,246.5,86.3,335.7,5.8,88.0,63240,28.7,0.1,100.0,100.0,1.3,9.2,5.66,0.11,2.0,0.0,98.0,98.0,96.0,100.0,100.0,2536508,2021,High Income,21.637931034482758,1.896551724137931
Dominican Republic,E1,6.67,85.6,,,94.0,30497.0,1.9,98.7,90.6,62.1,100.6,,75.7,10.4,78.6,6580,45.7,0.5,98.9,42.4,2.3,6.7,5.57,4.71,,,54.2,,,86.0,80.0,686107,2017,Upper-Middle Income,8.23076923076923,45.28846153846154
Dominican Republic,E2,7.32,83.8,7.9,0.0,62.63,41710.0,1.88,98.28,91.32,59.9,96.6,,80.0,10.5,79.4,6860,42.2,0.5,100.0,51.2,2.2,6.7,6.64,3.76,5.0,0.0,63.9,63.0,58.0,83.0,83.0,767353,2018,Upper-Middle Income,7.980952380952381,35.80952380952381
Dominican Republic,E3,7.81,83.4,-3.4,1.2,48.86,47982.0,1.86,98.5,91.4,60.9,98.0,88.0,85.6,10.6,80.3,7090,43.7,0.5,100.0,30.7,2.1,6.7,7.1,3.41,-2.0,1.0,67.6,59.0,61.0,82.0,81.0,786458,2019,Upper-Middle Income,7.867924528301888,32.16981132075472
Dominican Republic,E4,8.26,84.1,4.8,4.9,42.62,49566.0,1.88,98.5,93.0,51.4,93.4,94.0,88.9,10.7,81.1,7760,43.7,0.3,100.0,30.7,2.0,6.5,7.95,2.68,3.0,4.0,74.8,62.0,59.0,81.0,77.0,794788,2020,Upper-Middle Income,7.859813084112149,25.04672897196262
Dominican Republic,E5,8.86,83.3,4.1,4.9,41.02,49566.0,1.86,98.2,93.8,58.4,91.5,94.0,78.5,10.8,81.8,8090,43.7,0.1,100.0,30.7,2.0,6.5,7.95,2.68,3.0,4.0,74.8,74.0,71.0,82.0,78.0,885879,2021,Upper-Middle Income,7.712962962962962,24.814814814814813
Ecuador,E1,9.18,79.8,,,124.0,43754.0,1.23,98.5,94.4,46.8,132.3,,99.9,16.5,63.4,5970,45.0,0.8,98.7,42.4,2.3,5.9,7.97,8.31,,,48.9,,,86.0,82.0,1487592,2017,Upper-Middle Income,4.836363636363636,50.36363636363637
Ecuador,E2,9.76,84.2,7.9,4.8,74.35,45426.0,1.21,99.0,93.95,45.1,132.7,,104.3,16.8,63.5,5810,44.7,1.2,99.2,69.3,2.2,5.8,8.94,7.59,5.0,4.0,54.1,63.0,58.0,84.0,80.0,1461416,2018,Upper-Middle Income,5.011904761904762,45.17857142857142
Ecuador,E3,10.6,87.3,22.4,11.1,57.42,45426.0,1.79,99.0,94.32,53.2,118.7,90.7,107.6,17.0,63.7,5860,45.4,1.2,100.0,45.2,2.0,6.0,8.94,7.59,13.0,9.0,54.1,58.0,45.0,81.0,72.0,1683783,2019,Upper-Middle Income,5.135294117647058,44.64705882352941
Ecuador,E4,11.44,92.3,18.8,9.9,45.75,45426.0,1.18,99.6,92.8,37.8,112.4,90.7,107.4,17.3,63.8,6090,45.4,1.1,100.0,71.0,2.0,6.3,8.94,7.59,12.0,8.0,54.1,64.0,52.0,81.0,73.0,1953607,2020,Upper-Middle Income,5.335260115606936,43.872832369942195
Ecuador,E5,12.04,91.2,0.0,2.5,39.07,45426.0,1.16,99.2,93.2,51.8,103.5,90.0,100.1,17.5,64.0,6080,45.4,1.0,100.0,71.0,2.1,6.3,8.94,7.59,0.0,2.0,54.1,72.0,72.0,81.0,79.0,2092458,2021,Upper-Middle Income,5.211428571428572,43.371428571428574
Egypt,E1,4.14,101.7,,,77.0,9844.0,0.22,100.0,99.3,61.6,21.5,,269.1,91.0,42.8,3360,31.8,0.2,100.0,49.9,2.6,3.2,33.66,55.34,,,37.8,,,90.0,75.0,3826410,2017,Lower-Middle Income,1.1175824175824176,60.81318681318682
Egypt,E2,4.73,103.5,54.9,18.5,57.29,14885.0,0.11,99.9,99.72,64.5,23.1,92.0,194.5,95.2,42.7,3460,31.5,0.2,100.0,49.9,2.6,3.3,37.54,53.46,28.0,17.0,41.2,51.0,23.0,92.0,75.0,4469164,2018,Lower-Middle Income,1.0871848739495797,56.15546218487395
Egypt,E3,5.43,106.8,43.2,22.8,42.33,16425.0,0.21,99.9,99.72,32.5,24.3,98.1,249.1,97.1,42.7,3040,31.5,0.2,100.0,49.1,2.6,3.4,42.79,52.41,19.0,21.0,45.0,44.0,25.0,92.0,71.0,5233872,2019,Lower-Middle Income,1.0998970133882595,53.97528321318229
Egypt,E4,6.73,95.3,22.7,16.1,41.86,25750.0,0.21,99.9,99.9,36.4,29.0,94.0,316.4,98.9,42.7,2800,31.5,0.5,100.0,49.1,2.4,3.4,45.56,51.54,10.0,14.0,46.9,44.0,34.0,87.0,73.0,6580370,2020,Lower-Middle Income,0.9635995955510616,52.113245702730026
Egypt,E5,7.57,95.0,29.4,17.8,39.14,26868.0,0.2,100.0,99.5,47.1,34.8,88.0,355.1,100.9,42.7,2690,31.5,0.5,100.0,49.1,2.5,3.1,56.65,42.25,15.0,16.0,57.3,51.0,36.0,90.0,74.0,7598941,2021,Lower-Middle Income,0.9415262636273538,41.87314172447968
El Salvador,E1,5.58,147.6,,,132.0,63211.0,0.0,97.8,85.5,52.2,100.6,,24.2,6.4,69.7,3440,40.0,0.6,96.0,44.9,2.2,6.6,1.7,4.63,,,26.8,,,76.0,71.0,353001,2017,Lower-Middle Income,23.062499999999996,72.34375
El Salvador,E2,6.22,151.6,15.7,8.8,71.97,68039.0,0.0,98.0,90.08,49.5,96.6,98.0,25.0,6.4,70.5,3510,38.0,0.4,96.8,44.9,2.2,6.6,1.84,4.52,8.0,7.0,29.0,51.0,43.0,80.0,73.0,395307,2018,Lower-Middle Income,23.687499999999996,70.625
El Salvador,E3,7.06,148.4,12.5,11.4,58.93,134915.0,0.0,98.0,91.04,59.9,98.0,86.3,26.1,6.4,71.3,3600,38.6,0.5,100.0,40.1,2.3,6.4,2.16,4.23,7.0,9.0,33.8,56.0,49.0,79.0,70.0,451263,2019,Lower-Middle Income,23.1875,66.09375
El Salvador,E4,7.67,146.9,30.4,11.0,48.47,134915.0,0.0,99.3,91.6,47.5,93.4,98.0,27.0,6.4,72.0,3820,38.6,0.4,100.0,40.1,2.2,6.0,2.16,4.23,17.0,9.0,33.8,56.0,39.0,82.0,73.0,492265,2020,Lower-Middle Income,22.953125,66.09375
El Salvador,E5,7.67,146.9,21.9,10.8,42.68,134915.0,0.0,98.7,92.5,45.3,91.5,94.2,25.0,6.5,72.7,4000,38.6,0.3,100.0,42.8,2.2,6.1,2.16,4.23,14.0,9.0,33.8,64.0,50.0,83.0,74.0,492265,2021,Lower-Middle Income,22.6,65.0769230769231
Estonia,E1,29.67,144.7,,,41.0,106632.0,0.0,99.99,100.0,54.8,127.4,,24.3,1.3,68.4,18680,31.2,0.5,100.0,99.0,2.0,7.9,1.16,0.15,,,88.4,,,93.0,97.0,390275,2017,High Income,111.30769230769229,11.538461538461538
Estonia,E2,31.48,144.2,0.0,0.0,32.22,121895.0,0.0,100.0,100.0,56.3,133.1,90.0,26.9,1.3,68.6,18280,30.4,0.4,100.0,99.0,1.7,7.9,1.15,0.17,0.0,0.0,87.2,84.0,84.0,97.0,97.0,414478,2018,High Income,110.9230769230769,13.076923076923078
Estonia,E3,32.47,144.3,4.6,0.0,28.15,122159.0,15.2,100.0,100.0,61.6,137.5,90.4,30.6,1.3,68.7,18750,30.4,0.3,100.0,100.0,1.7,7.8,1.16,0.16,4.0,0.0,88.1,87.0,83.0,97.0,97.0,428453,2019,High Income,111.0,12.307692307692307
Estonia,E4,33.35,145.4,8.0,1.0,27.71,122159.0,15.2,100.0,100.0,60.8,140.7,92.0,31.5,1.3,68.9,21350,30.4,0.2,100.0,100.0,1.7,8.0,1.18,0.14,7.0,1.0,89.4,88.0,81.0,98.0,97.0,441173,2020,High Income,111.84615384615385,10.76923076923077
Estonia,E5,32.53,147.2,5.6,0.0,26.54,122159.0,7.55,100.0,100.0,78.2,143.3,84.0,29.9,1.3,69.1,23220,30.4,0.2,100.0,100.0,1.7,7.9,1.19,0.14,5.0,0.0,89.5,90.0,85.0,100.0,100.0,449140,2021,High Income,113.23076923076921,10.76923076923077
Ethiopia,E1,0.47,42.0,,,136.0,1609.0,0.0,85.2,10.4,25.6,22.2,,72.2,103.6,19.4,600,35.0,9.0,42.9,2.0,2.3,3.8,13.97,86.87,,,13.9,,,40.0,26.0,478000,2017,Low Income,0.40540540540540543,83.85135135135135
Ethiopia,E2,0.54,49.4,44.4,34.7,120.9,2195.0,0.0,85.2,29.22,31.3,24.8,96.0,76.8,106.4,19.9,670,35.0,8.9,44.3,5.4,2.5,3.6,15.92,87.68,4.0,17.0,15.4,9.0,5.0,49.0,32.0,559000,2018,Low Income,0.46428571428571425,82.40601503759399
Ethiopia,E3,0.06,37.2,36.4,37.5,86.57,1383.0,0.0,70.97,38.18,6.3,25.2,78.0,80.2,109.2,20.3,740,35.0,8.9,44.98,7.3,2.5,3.4,19.81,86.59,4.0,21.0,18.6,11.0,7.0,56.0,35.0,62950,2019,Low Income,0.34065934065934067,79.2948717948718
Ethiopia,E4,0.06,37.2,33.3,29.9,70.72,1383.0,0.0,96.0,31.6,3.2,24.0,86.0,92.8,112.1,20.8,800,35.0,8.9,44.98,7.3,2.5,3.4,19.81,86.59,5.0,20.0,18.6,15.0,10.0,67.0,47.0,62950,2020,Low Income,0.3318465655664586,77.2435325602141
